交易对象 收入 支出 应收账款 应付账款 交易时间
s 2万 3万 2万 2万 2018-01-29
1 1万 1万 1万 1万 2018-01-29
a 1万 1万 1万 1万 2018-01-29
a 11万 22万 33万 44万 2018-01-28
s 5万 5万 1万 2万 2018-01-28
g 11万 15万 1万 17万 2018-01-28
g 1万 111万 6万 19万 2018-01-28
s 1万 111万 6万 19万 2018-01-28
g 1万 111万 6万 19万 2018-01-28
s 1万 111万 6万 19万 2018-01-28
g 1万 111万 6万 19万 2018-01-28
g 1万 111万 6万 19万 2018-01-28
g 1万 111万 6万 19万 2018-01-28
s 1万 111万 6万 19万 2018-01-28
g 555万 111万 6万 19万 2018-01-28
k 1万 111万 6万 19万 2018-01-28
g 1万 111万 6万 19万 2018-01-28
g 1万 111万 6万 19万 2018-01-28
